t_s,alt_m,downrange_km,V_mps,gamma_deg,q_Pa,Qdot_Wm2,sigma_deg,Mach,lat_deg,lon_deg
126.0,11694.491187920794,508.13957427925055,2132.834749402474,-3.5620717733979994,15862.07840583416,137373.5317539503,68.26153920847952,9.534153473813012,-12.72405231131086,-176.3983349943744
126.10000000000001,11681.287279874086,508.33991391564973,2128.383719999693,-3.5440073747901226,15814.743203956532,136553.68950431223,68.26153920847952,9.514256193989661,-12.720706735218084,-176.3970425211794
126.2,11668.177730098367,508.53976758999,2123.9459374185226,-3.5259921557879035,15767.473987944182,135738.95989794322,68.26153920847952,9.494418134137128,-12.717369379682331,-176.39574914633675
126.30000000000001,11655.161997313611,508.73913663853506,2119.5213831303286,-3.5080262589175923,15720.27215773336,134929.31822591927,68.26153920847952,9.47463921138947,-12.71404022181491,-176.39445488169324
126.4,11642.239542192314,508.9380223970095,2115.1100382152804,-3.490109824715306,15673.139089953891,134124.73972016212,68.26153920847952,9.45491934113232,-12.710719238738239,-176.39315973902984
126.5,11629.409827364609,509.1364262005477,2110.711883368895,-3.472242991739242,15626.076138120452,133325.19955781513,68.26153920847952,9.435258437032152,-12.707406407586726,-176.3918637300618
126.60000000000001,11616.672317421995,509.33434938364366,2106.326898908527,-3.454425896581923,15579.084632826178,132530.672865546,68.26153920847952,9.415656411065283,-12.704101705507668,-176.39056686643872
126.7,11604.026478923857,509.531793280088,2101.955064779802,-3.436658673882487,15532.165881932668,131741.1347237517,68.26153920847952,9.39611317354663,-12.700805109662102,-176.38926915974446
126.80000000000001,11591.471780400258,509.72875922293457,2097.596360562999,-3.4189414563390024,15485.321170765457,130956.5601707056,68.26153920847952,9.376628633158239,-12.697516597225668,-176.3879706214974
126.9,11579.00769235706,509.9252485444359,2093.250765479377,-3.401274374720821,15438.551762306475,130176.92420661179,68.26153920847952,9.357202696977566,-12.694236145389453,-176.3866712631503
127.0,11566.633687279653,510.1212625759994,2088.918258397445,-3.3836575578809582,15391.858897388538,129402.2017975884,68.26153920847952,9.337835270505506,-12.690963731360824,-176.38537109609047
127.10000000000001,11554.349239636678,510.3168026481438,2084.598817839178,-3.3660911327684984,15345.243794889991,128632.36787957388,68.26153920847952,9.318526257694177,-12.687699332364247,-176.38407013163985
127.2,11542.153825883288,510.5118700904368,2080.292421986183,-3.3485752244410283,15298.707651930017,127867.39736215904,68.26153920847952,9.299275560974475,-12.684442925642102,-176.38276838105494
127.30000000000001,11530.046924465336,510.70646623146246,2075.9990486858005,-3.3311099560770865,15252.251644062642,127107.26513233744,68.26153920847952,9.280083081283358,-12.681194488455473,-176.38146585552715
127.4,11518.02801582124,510.900592398769,2071.7186754571594,-3.3136954489886414,15205.876925473922,126351.94605819402,68.26153920847952,9.260948718090905,-12.67795399808495,-176.38016256618258
